docid,has_user_story,has_practice,has_structure,processing_status,dispute_type_code,claim_type_codes,index_policy,main_site_fit,human_review_status
0ugFEUWpmXV5,True,True,True,complete,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses,index,True,not_reviewed
1atAB9kqrebQ,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
1GvqWVhBTnLT,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
2XgbuyLyjsZS,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
4ZA7CTP6Z76l,True,True,True,complete,ddu_acceptance_defects_art8,compel_transfer;defect_cure;penalty;moral_damage;consumer_fine,index,True,not_reviewed
5QGQisx4HlZm,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
6JNfOIcg8VrJ,True,True,True,complete,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses,index,True,not_reviewed
8nxK2TG6bnNs,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
9PEsUj2tx5Lw,True,True,True,complete,ddu_quality_defects_art7,repair_expenses;penalty;consumer_fine;moral_damage;expenses,index,True,not_reviewed
b1z2z3JE6kVl,True,True,True,complete,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses,index,True,not_reviewed
bcLaiPTgOjJu,True,True,True,complete,ddu_delay_penalty_art6,penalty;moral_damage;consumer_fine,index,True,not_reviewed
bPUuc9vT5d65,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
BTfFhBO9bl5f,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
czgQ9u1UWPHD,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
dS0HZaw7iwxx,True,True,True,complete,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses,index,True,not_reviewed
DwkheohPRHZv,True,True,True,complete,ddu_termination_refund_art9,contract_termination;moral_damage,index,True,not_reviewed
Eh1Nw2yjQg6x,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
EWS5Yv62dLUB,True,True,True,complete,ddu_acceptance_defects_art8,penalty;moral_damage;expenses,index,True,not_reviewed
f327198Gt3Zp,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
fAGrVZDBpkWD,True,True,True,complete,ddu_delay_penalty_art6,penalty;damages;consumer_fine,index,True,not_reviewed
fd10IOYK1TY6,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
FDDchXC04fYU,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
fdKv7hoPIiNW,True,True,True,complete,ddu_delay_penalty_art6,penalty;moral_damage;consumer_fine;expenses,index,True,not_reviewed
FHOalgNBmplV,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
FkvbEh79G9Up,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
gQJTDalrwsL4,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
h50ZsUwZfl6m,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
HNKUqbx7vPJw,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
hXJYppVEsNbO,True,True,True,complete,ddu_termination_refund_art9,interest;damages;consumer_fine;expenses,index,True,not_reviewed
IyrvrGVU6P14,True,True,True,complete,ddu_quality_defects_art7,damages;moral_damage;consumer_fine;expenses,index,True,not_reviewed
J4ScEeOmR1rK,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
jZyFxy7HJtmp,True,True,True,complete,ddu_quality_defects_art7,price_reduction;moral_damage;consumer_fine,index,True,not_reviewed
K74QFxEvJFUB,True,True,True,complete,ddu_area_price_difference_art5,area_recalculation;price_reduction;moral_damage;consumer_fine,index,True,not_reviewed
KPSCpAxfTIxn,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
KxmNz092Sfbw,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
LcdKitICPp6x,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
mJ8TjG4OypYx,True,True,True,complete,ddu_assignment_rights_art11,contract_termination,index,True,not_reviewed
NEhOHKaxcxZ6,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
nILJLSNW6RxX,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
o1v5BtM046oQ,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
O4XGU9A5Oa61,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
oMmLsT0xtHbP,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
r6IZzLpOZv18,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
rkAgSYTNrLLC,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
RpwmOvDCDzVw,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
tA4I3C4izbUw,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
TAGPJRiKnOQh,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
tinoecNo5fZJ,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
tqP0gCC47eLa,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
uJ7eANaEGv1B,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
UwPPrIq6uDWx,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
v8fYlftGBN6E,True,True,True,complete,ddu_escrow_dispute,penalty;moral_damage;consumer_fine;compel_transfer,index,True,not_reviewed
vCIIP5SwATby,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
vcxfeE9NN11A,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
vQ7sBA90ldbr,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
vx8xdmtSBDZT,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
WHn796jskSgN,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
xfBBJLmJ9NoV,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
XgpeaG5M48Zl,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
XtWyf9pM66ZV,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
YCyTtWqInOmK,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
Ypys7Yagp5mu,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
yr7KTr1mSDmV,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
zA2CdHcCVNVg,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
ZKB1oIPWhlmv,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
ZLpGEgO2P1rw,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
zoAf2okKzt18,True,True,True,complete,ddu_non_target_hold,hold,hold,False,not_reviewed
ZtbkzNXofEly,True,True,True,complete,ddu_manual_review_hold,hold,hold,False,needs_review
