docid,source_url,normalized_source_url,source_domain,raw_act_path,raw_text_sha256,has_raw,has_structure,processing_status,index_policy,main_site_fit,court_system,court_level,region,court_name,case_number,decision_date,dispute_type_code,claim_type_codes
0ugFEUWpmXV5,https://sudact.ru/regular/doc/0ugFEUWpmXV5/,https://sudact.ru/regular/doc/0ugFEUWpmXV5,sudact.ru,data/ddu/raw_acts/act_0ugFEUWpmXV5.txt,ba01b013d4ece298f24cc07a5670ac4badfcb2d9d90d8d1658794ca5529a1ed0,true,true,complete,index,true,general_jurisdiction,district,Московская область,Видновский городской суд,2-4650/2023,2023-12-05,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses
1GvqWVhBTnLT,https://sudact.ru/regular/doc/1GvqWVhBTnLT/,https://sudact.ru/regular/doc/1GvqWVhBTnLT,sudact.ru,data/ddu/raw_acts/act_1GvqWVhBTnLT.txt,7a0c355235f9b6773c046f00f75e6fc45c674f50b527d2e6913e530eae20cb01,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
1atAB9kqrebQ,https://sudact.ru/regular/doc/1atAB9kqrebQ/,https://sudact.ru/regular/doc/1atAB9kqrebQ,sudact.ru,data/ddu/raw_acts/act_1atAB9kqrebQ.txt,77f53fa096efe731a00d1868fabc6e05d2dfd61ecb4b122ade588355cccc78c9,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
2XgbuyLyjsZS,https://sudact.ru/regular/doc/2XgbuyLyjsZS/,https://sudact.ru/regular/doc/2XgbuyLyjsZS,sudact.ru,data/ddu/raw_acts/act_2XgbuyLyjsZS.txt,0fd69f608d48c8a951037ecb7d1e402684605081ccc38c280c5324473034e70a,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
4ZA7CTP6Z76l,https://sudact.ru/regular/doc/4ZA7CTP6Z76l/,https://sudact.ru/regular/doc/4ZA7CTP6Z76l,sudact.ru,data/ddu/raw_acts/act_4ZA7CTP6Z76l.txt,00d12e9f65bb735b119cbf367c47c71082edd51b8aa01fe43cb3006a00ca7248,true,true,complete,index,true,general_jurisdiction,district,Краснодарский край,Центральный районный суд г. Сочи,2-2470/2020,2020-07-28,ddu_acceptance_defects_art8,compel_transfer;defect_cure;penalty;moral_damage;consumer_fine
5QGQisx4HlZm,https://sudact.ru/regular/doc/5QGQisx4HlZm/,https://sudact.ru/regular/doc/5QGQisx4HlZm,sudact.ru,data/ddu/raw_acts/act_5QGQisx4HlZm.txt,823accc5864f9f0e01a5ce0fb2ce999ca5ad9d1e057c403f33dd915fe07c0fd6,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
6JNfOIcg8VrJ,https://sudact.ru/regular/doc/6JNfOIcg8VrJ/,https://sudact.ru/regular/doc/6JNfOIcg8VrJ,sudact.ru,data/ddu/raw_acts/act_6JNfOIcg8VrJ.txt,fd25217ec29783f68ee4d91dc7ff16dfd6d9f8923465e923f3efb45bbcc32dfe,true,true,complete,index,true,general_jurisdiction,районный,Санкт-Петербург,Василеостровский районный суд Санкт-Петербурга,2-1454/2024,2024-01-22,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses
8nxK2TG6bnNs,https://sudact.ru/regular/doc/8nxK2TG6bnNs/,https://sudact.ru/regular/doc/8nxK2TG6bnNs,sudact.ru,data/ddu/raw_acts/act_8nxK2TG6bnNs.txt,096c3fc85726d926c084a8c678ab56dfdb875fe78cdd9c64d8ac4c12cc35dd42,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
9PEsUj2tx5Lw,https://sudact.ru/regular/doc/9PEsUj2tx5Lw/,https://sudact.ru/regular/doc/9PEsUj2tx5Lw,sudact.ru,data/ddu/raw_acts/act_9PEsUj2tx5Lw.txt,11bd7f42554a317c37d6e19a1cb48f7fed1a5a34d185c0dfd9e05ccc87aa12b0,true,true,complete,index,true,general_jurisdiction,district,Московская область,Красногорский городской суд Московской области,2-8035/2024,2024-07-30,ddu_quality_defects_art7,repair_expenses;penalty;consumer_fine;moral_damage;expenses
BTfFhBO9bl5f,https://sudact.ru/regular/doc/BTfFhBO9bl5f/,https://sudact.ru/regular/doc/BTfFhBO9bl5f,sudact.ru,data/ddu/raw_acts/act_BTfFhBO9bl5f.txt,8fc7be528fc54feae1da6b5dab864648c458672d94f1a0191971c415e4891fe4,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
DwkheohPRHZv,https://sudact.ru/regular/doc/DwkheohPRHZv/,https://sudact.ru/regular/doc/DwkheohPRHZv,sudact.ru,data/ddu/raw_acts/act_DwkheohPRHZv.txt,950bf56df63c5198b9d32d326429e9e053d0c92dc5841f5f2a045644cf0f24f5,true,true,complete,index,true,general_jurisdiction,городской,Московская область,Балашихинский городской суд (Московская область),2-6919/2023,2023-10-10,ddu_termination_refund_art9,contract_termination;moral_damage
EWS5Yv62dLUB,https://sudact.ru/regular/doc/EWS5Yv62dLUB/,https://sudact.ru/regular/doc/EWS5Yv62dLUB,sudact.ru,data/ddu/raw_acts/act_EWS5Yv62dLUB.txt,ae5ed0f2e1f28134855e8627eaa175f6871bb4024779f8fcdb98dbbe27200913,true,true,complete,index,true,general_jurisdiction,district,Московская область,Люберецкий городской суд Московской области,2-1380/2020,2020-02-18,ddu_acceptance_defects_art8,penalty;moral_damage;expenses
Eh1Nw2yjQg6x,https://sudact.ru/regular/doc/Eh1Nw2yjQg6x/,https://sudact.ru/regular/doc/Eh1Nw2yjQg6x,sudact.ru,data/ddu/raw_acts/act_Eh1Nw2yjQg6x.txt,c62b043c72dd425acf08da44503ddce125534e6c23e0117c8ada8eee700a7bea,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
FDDchXC04fYU,https://sudact.ru/regular/doc/FDDchXC04fYU/,https://sudact.ru/regular/doc/FDDchXC04fYU,sudact.ru,data/ddu/raw_acts/act_FDDchXC04fYU.txt,a20fb69927fece668e270c6d4fd54e23b40e03ebc516f932d68ce19c5b5b5d75,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
FHOalgNBmplV,https://sudact.ru/regular/doc/FHOalgNBmplV/,https://sudact.ru/regular/doc/FHOalgNBmplV,sudact.ru,data/ddu/raw_acts/act_FHOalgNBmplV.txt,9babb11b438ef31b60cec88dac1dcb98ce275a2f978e7dadfbacb6c8ac1e42b3,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
FkvbEh79G9Up,https://sudact.ru/regular/doc/FkvbEh79G9Up/,https://sudact.ru/regular/doc/FkvbEh79G9Up,sudact.ru,data/ddu/raw_acts/act_FkvbEh79G9Up.txt,ccbe4f694fa537e2bebf7e277681bb4c6fb6d7780e6e9a931f37118d25492eb0,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
HNKUqbx7vPJw,https://sudact.ru/regular/doc/HNKUqbx7vPJw/,https://sudact.ru/regular/doc/HNKUqbx7vPJw,sudact.ru,data/ddu/raw_acts/act_HNKUqbx7vPJw.txt,5470ed753c9155cda542c9db1bcedf7a631d36bc01f0a1d42e31172e24362e4a,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
IyrvrGVU6P14,https://sudact.ru/regular/doc/IyrvrGVU6P14/,https://sudact.ru/regular/doc/IyrvrGVU6P14,sudact.ru,data/ddu/raw_acts/act_IyrvrGVU6P14.txt,cc83371fc02e699047cf69747cfba469ef836df81d40d92fb921aaa4d4ed8beb,true,true,complete,index,true,general_jurisdiction,district,Саратовская область,Энгельсский районный суд Саратовской области,2-2524/2020,2020-07-03,ddu_quality_defects_art7,damages;moral_damage;consumer_fine;expenses
J4ScEeOmR1rK,https://sudact.ru/regular/doc/J4ScEeOmR1rK/,https://sudact.ru/regular/doc/J4ScEeOmR1rK,sudact.ru,data/ddu/raw_acts/act_J4ScEeOmR1rK.txt,f90b153e38545d364f1c875ca222af19d0e32862e762511135ad44bc33ffef97,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
K74QFxEvJFUB,https://sudact.ru/regular/doc/K74QFxEvJFUB/,https://sudact.ru/regular/doc/K74QFxEvJFUB,sudact.ru,data/ddu/raw_acts/act_K74QFxEvJFUB.txt,9f2cad4e20cf516928723b75c8c0732f91426095f0eaefb41faa55512831c440,true,true,complete,index,true,general_jurisdiction,district,Рязанская область,Кадомский районный суд Рязанской области,2-169/2020,2020-09-23,ddu_area_price_difference_art5,area_recalculation;price_reduction;moral_damage;consumer_fine
KPSCpAxfTIxn,https://sudact.ru/regular/doc/KPSCpAxfTIxn/,https://sudact.ru/regular/doc/KPSCpAxfTIxn,sudact.ru,data/ddu/raw_acts/act_KPSCpAxfTIxn.txt,94c3844951eebeaabd60cfced85ed98420779adb9894eccceaee5675ce681764,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
KxmNz092Sfbw,https://sudact.ru/regular/doc/KxmNz092Sfbw/,https://sudact.ru/regular/doc/KxmNz092Sfbw,sudact.ru,data/ddu/raw_acts/act_KxmNz092Sfbw.txt,31673b1d5179426a92bd89efc294a050904843b5c1a41b60e5b1e060666c9a39,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
LcdKitICPp6x,https://sudact.ru/regular/doc/LcdKitICPp6x/,https://sudact.ru/regular/doc/LcdKitICPp6x,sudact.ru,data/ddu/raw_acts/act_LcdKitICPp6x.txt,f0c1a7482ed1bb42c46a32646fc44a2b696c148117d3c897588289963ad00082,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
NEhOHKaxcxZ6,https://sudact.ru/regular/doc/NEhOHKaxcxZ6/,https://sudact.ru/regular/doc/NEhOHKaxcxZ6,sudact.ru,data/ddu/raw_acts/act_NEhOHKaxcxZ6.txt,e2d42f22f4421391f7334681e43346f2c565542e28ff0e17d1944a7025204bc5,true,true,complete,hold,false,general_jurisdiction,,,,2-1368/2023,,ddu_manual_review_hold,hold
O4XGU9A5Oa61,https://sudact.ru/regular/doc/O4XGU9A5Oa61/,https://sudact.ru/regular/doc/O4XGU9A5Oa61,sudact.ru,data/ddu/raw_acts/act_O4XGU9A5Oa61.txt,4f1b3ff76973cadb11ddd6ee8fed52823a48a30d135f353a3dd58a303046ef39,true,true,complete,hold,false,general_jurisdiction,,,,2-6155/2023,2023-09-12,ddu_manual_review_hold,hold
RpwmOvDCDzVw,https://sudact.ru/regular/doc/RpwmOvDCDzVw/,https://sudact.ru/regular/doc/RpwmOvDCDzVw,sudact.ru,data/ddu/raw_acts/act_RpwmOvDCDzVw.txt,bc1c437a91b98fdd400cee9b3b53668257579c9d0ae7a6f9c763d7cd8ff9ce55,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
TAGPJRiKnOQh,https://sudact.ru/regular/doc/TAGPJRiKnOQh/,https://sudact.ru/regular/doc/TAGPJRiKnOQh,sudact.ru,data/ddu/raw_acts/act_TAGPJRiKnOQh.txt,4491b65adb80a1e746af26458a0ee1bb377b4eef61ad09e1f2f1fd946de4f051,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
UwPPrIq6uDWx,https://sudact.ru/regular/doc/UwPPrIq6uDWx/,https://sudact.ru/regular/doc/UwPPrIq6uDWx,sudact.ru,data/ddu/raw_acts/act_UwPPrIq6uDWx.txt,3e4d8ead15c540f175aaa9213fa091197d213207ddbf8c5231eae9db0ba535b5,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
WHn796jskSgN,https://sudact.ru/regular/doc/WHn796jskSgN/,https://sudact.ru/regular/doc/WHn796jskSgN,sudact.ru,data/ddu/raw_acts/act_WHn796jskSgN.txt,d1a19d93f3a75265a26bd63632f9a0db0d2c5c48510050b2846eb6a6b08f2f2c,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_manual_review_hold,hold
XgpeaG5M48Zl,https://sudact.ru/regular/doc/XgpeaG5M48Zl/,https://sudact.ru/regular/doc/XgpeaG5M48Zl,sudact.ru,data/ddu/raw_acts/act_XgpeaG5M48Zl.txt,697dfd1846fa99f0bacaac9dc6975b4c4f1a6059c07df69e8597840b8c24babc,true,true,complete,hold,false,general_jurisdiction,,,,,2020-07-30,ddu_manual_review_hold,hold
XtWyf9pM66ZV,https://sudact.ru/regular/doc/XtWyf9pM66ZV/,https://sudact.ru/regular/doc/XtWyf9pM66ZV,sudact.ru,data/ddu/raw_acts/act_XtWyf9pM66ZV.txt,25bc667fbb40e62e0bf8bf04b0ff7e2275c464649b7d86435af7733c084824a2,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
YCyTtWqInOmK,https://sudact.ru/regular/doc/YCyTtWqInOmK/,https://sudact.ru/regular/doc/YCyTtWqInOmK,sudact.ru,data/ddu/raw_acts/act_YCyTtWqInOmK.txt,7db7bffd7bcde3c664aa33a41c004ba943e0b20bd2c453ec9dc75821e74ec4c3,true,true,complete,hold,false,general_jurisdiction,,,,2-4174/2023,,ddu_manual_review_hold,hold
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,https://sudact.ru/regular/doc/Ypys7Yagp5mu,sudact.ru,data/ddu/raw_acts/act_Ypys7Yagp5mu.txt,1d93393c67c8afef71634ad79c9bd3c6bdf10ecc70a940764d431ac76324b702,true,true,complete,hold,false,general_jurisdiction,,,,2-2295/2025,,ddu_manual_review_hold,hold
ZKB1oIPWhlmv,https://sudact.ru/regular/doc/ZKB1oIPWhlmv/,https://sudact.ru/regular/doc/ZKB1oIPWhlmv,sudact.ru,data/ddu/raw_acts/act_ZKB1oIPWhlmv.txt,47762bb2f83097d15c28b94202a936b8730c94270b970629243b51d4f773d277,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
ZLpGEgO2P1rw,https://sudact.ru/regular/doc/ZLpGEgO2P1rw/,https://sudact.ru/regular/doc/ZLpGEgO2P1rw,sudact.ru,data/ddu/raw_acts/act_ZLpGEgO2P1rw.txt,fe1e07995da6132f0e80dbe9459414c473af7922f6c0cb124d7e76023c8a76fe,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
ZtbkzNXofEly,https://sudact.ru/regular/doc/ZtbkzNXofEly/,https://sudact.ru/regular/doc/ZtbkzNXofEly,sudact.ru,data/ddu/raw_acts/act_ZtbkzNXofEly.txt,ecd71579494f23dedd500b319c989206294d5b6a2b4bb494862adb281156b6f0,true,true,complete,hold,false,general_jurisdiction,,,,2-1155/2020,,ddu_manual_review_hold,hold
b1z2z3JE6kVl,https://sudact.ru/regular/doc/b1z2z3JE6kVl/,https://sudact.ru/regular/doc/b1z2z3JE6kVl,sudact.ru,data/ddu/raw_acts/act_b1z2z3JE6kVl.txt,0c626afdaf775c6807ed989233100ef41c75201a238ebe1b6ff70043d0ffd8ed,true,true,complete,index,true,general_jurisdiction,district,Республика Татарстан,Кировский районный суд города Казани,2-1066/2025,2025-12-19,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses
bPUuc9vT5d65,https://sudact.ru/regular/doc/bPUuc9vT5d65/,https://sudact.ru/regular/doc/bPUuc9vT5d65,sudact.ru,data/ddu/raw_acts/act_bPUuc9vT5d65.txt,9ed15476b78dfdfefbdd2c3239966d2799d08a64ff667fb0f387f2eedf44cb5c,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
bcLaiPTgOjJu,https://sudact.ru/regular/doc/bcLaiPTgOjJu/,https://sudact.ru/regular/doc/bcLaiPTgOjJu,sudact.ru,data/ddu/raw_acts/act_bcLaiPTgOjJu.txt,14e0ededc97adaeaf06e9c3bab939b9c7f2e6e1a25d3f6bce9a99a27ccfb397a,true,true,complete,index,true,general_jurisdiction,district,Ростовская область,Ленинский районный суд г. Ростова-на-Дону,2-1424/2019,2019-05-13,ddu_delay_penalty_art6,penalty;moral_damage;consumer_fine
czgQ9u1UWPHD,https://sudact.ru/regular/doc/czgQ9u1UWPHD/,https://sudact.ru/regular/doc/czgQ9u1UWPHD,sudact.ru,data/ddu/raw_acts/act_czgQ9u1UWPHD.txt,9ba93591e93c893caef018b7922905d5c032cda79ae22a54ee025247399ffa69,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
dS0HZaw7iwxx,https://sudact.ru/regular/doc/dS0HZaw7iwxx/,https://sudact.ru/regular/doc/dS0HZaw7iwxx,sudact.ru,data/ddu/raw_acts/act_dS0HZaw7iwxx.txt,9746bfa556bc8e11f160cf26e770292e56bb3e5545db20b77f3146bace144030,true,true,complete,index,true,general_jurisdiction,district,Московская область,Железнодорожный городской суд Московской области,2-1445/2023,2023-10-11,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses
f327198Gt3Zp,https://sudact.ru/regular/doc/f327198Gt3Zp/,https://sudact.ru/regular/doc/f327198Gt3Zp,sudact.ru,data/ddu/raw_acts/act_f327198Gt3Zp.txt,849aa54d157290d601c651a43d24525737dd7eaf8df51104d6ed3a83494a1e1a,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
fAGrVZDBpkWD,https://sudact.ru/regular/doc/fAGrVZDBpkWD/,https://sudact.ru/regular/doc/fAGrVZDBpkWD,sudact.ru,data/ddu/raw_acts/act_fAGrVZDBpkWD.txt,766353bd7b1e2d1ba204d0e7ec0db32538f36e9f29e97a98004c0891972128d3,true,true,complete,index,true,general_jurisdiction,district,Костромская область,Костромской районный суд Костромской области,2-498/2020,2020-07-22,ddu_delay_penalty_art6,penalty;damages;consumer_fine
fd10IOYK1TY6,https://sudact.ru/regular/doc/fd10IOYK1TY6/,https://sudact.ru/regular/doc/fd10IOYK1TY6,sudact.ru,data/ddu/raw_acts/act_fd10IOYK1TY6.txt,4a3638aa378dfae6cb4525d7b7825c764cbd594e81df9159b9b45df05407f181,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
fdKv7hoPIiNW,https://sudact.ru/regular/doc/fdKv7hoPIiNW/,https://sudact.ru/regular/doc/fdKv7hoPIiNW,sudact.ru,data/ddu/raw_acts/act_fdKv7hoPIiNW.txt,4cbcbb8ce0096fb0df079d9f3cb8a349e584579049b96acdfde66431137a1d3b,true,true,complete,index,true,general_jurisdiction,district,Красноярский край,Свердловский районный суд г. Красноярска,2-1567/2020,2020-02-13,ddu_delay_penalty_art6,penalty;moral_damage;consumer_fine;expenses
gQJTDalrwsL4,https://sudact.ru/regular/doc/gQJTDalrwsL4/,https://sudact.ru/regular/doc/gQJTDalrwsL4,sudact.ru,data/ddu/raw_acts/act_gQJTDalrwsL4.txt,2cc880c8b54f6a9f2c7f2fa484b88def7c754d1f3b6441fbc3c445c4c9216c53,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
h50ZsUwZfl6m,https://sudact.ru/regular/doc/h50ZsUwZfl6m/,https://sudact.ru/regular/doc/h50ZsUwZfl6m,sudact.ru,data/ddu/raw_acts/act_h50ZsUwZfl6m.txt,b677a26578bcd8c19d6d0cb1335204ef2b889557064b2649d02dd610d2fb8c85,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
hXJYppVEsNbO,https://sudact.ru/regular/doc/hXJYppVEsNbO/,https://sudact.ru/regular/doc/hXJYppVEsNbO,sudact.ru,data/ddu/raw_acts/act_hXJYppVEsNbO.txt,946138f1d73f9e9c150008244e368885a1db89203d2655162746156f7b6acfc8,true,true,complete,index,true,general_jurisdiction,district,Архангельская область,Северодвинский городской суд Архангельской области,2-1161/2020,2020-02-24,ddu_termination_refund_art9,interest;damages;consumer_fine;expenses
jZyFxy7HJtmp,https://sudact.ru/regular/doc/jZyFxy7HJtmp/,https://sudact.ru/regular/doc/jZyFxy7HJtmp,sudact.ru,data/ddu/raw_acts/act_jZyFxy7HJtmp.txt,fb13d09ae1cbfdad13cbe7f5a58449a99c2f8afa712b327d9ef7277cc10c5e5f,true,true,complete,index,true,general_jurisdiction,district,Воронежская область,Коминтерновский районный суд г. Воронежа,2-5921/2025,2025-12-18,ddu_quality_defects_art7,price_reduction;moral_damage;consumer_fine
mJ8TjG4OypYx,https://sudact.ru/regular/doc/mJ8TjG4OypYx/,https://sudact.ru/regular/doc/mJ8TjG4OypYx,sudact.ru,data/ddu/raw_acts/act_mJ8TjG4OypYx.txt,d82f402e1eea59f0c0d819435c91502a82319f27c2bdc3a896c0637f67e1b791,true,true,complete,index,true,general_jurisdiction,,,,2-1056,2020-01-28,ddu_assignment_rights_art11,contract_termination
nILJLSNW6RxX,https://sudact.ru/regular/doc/nILJLSNW6RxX/,https://sudact.ru/regular/doc/nILJLSNW6RxX,sudact.ru,data/ddu/raw_acts/act_nILJLSNW6RxX.txt,f4437060099111b1e4d7e235a5f648d47ac427d6e7c6ba2ce1b1df6daa018924,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
o1v5BtM046oQ,https://sudact.ru/regular/doc/o1v5BtM046oQ/,https://sudact.ru/regular/doc/o1v5BtM046oQ,sudact.ru,data/ddu/raw_acts/act_o1v5BtM046oQ.txt,778fdacad89a6baa06299d11d342fb7d400bcb227b30d49f477ae628bff4b33d,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
oMmLsT0xtHbP,https://sudact.ru/regular/doc/oMmLsT0xtHbP/,https://sudact.ru/regular/doc/oMmLsT0xtHbP,sudact.ru,data/ddu/raw_acts/act_oMmLsT0xtHbP.txt,bc2ac8b9198247b52c57c9e1cd8441b8b622457ca5fbb64c87cc0388c8b69c4b,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
r6IZzLpOZv18,https://sudact.ru/regular/doc/r6IZzLpOZv18/,https://sudact.ru/regular/doc/r6IZzLpOZv18,sudact.ru,data/ddu/raw_acts/act_r6IZzLpOZv18.txt,c75c086b4a377a712dfdbe073e0f50f56d66970212c308ec3aee0e83fd9038dc,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
rkAgSYTNrLLC,https://sudact.ru/regular/doc/rkAgSYTNrLLC/,https://sudact.ru/regular/doc/rkAgSYTNrLLC,sudact.ru,data/ddu/raw_acts/act_rkAgSYTNrLLC.txt,c9bdf8b7615aeabb9895b7d7c18b610d00a6cb4da8ccea3f14d6ff1287c84ff1,true,true,complete,hold,false,general_jurisdiction,,,,2-2357/2025,,ddu_manual_review_hold,hold
tA4I3C4izbUw,https://sudact.ru/regular/doc/tA4I3C4izbUw/,https://sudact.ru/regular/doc/tA4I3C4izbUw,sudact.ru,data/ddu/raw_acts/act_tA4I3C4izbUw.txt,eaaae613857f24374149202074c162506a97db1a1279afb1b6957418684bbde8,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
tinoecNo5fZJ,https://sudact.ru/regular/doc/tinoecNo5fZJ/,https://sudact.ru/regular/doc/tinoecNo5fZJ,sudact.ru,data/ddu/raw_acts/act_tinoecNo5fZJ.txt,8f471bc821a9c102c85ebe344c6ab01b19a864c5fbc11da7d01f8a7fd4bae127,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
tqP0gCC47eLa,https://sudact.ru/regular/doc/tqP0gCC47eLa/,https://sudact.ru/regular/doc/tqP0gCC47eLa,sudact.ru,data/ddu/raw_acts/act_tqP0gCC47eLa.txt,f9a311f43111840aea64e8379cdf00051bf2b407d585131bac3373a67695ea9a,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
uJ7eANaEGv1B,https://sudact.ru/regular/doc/uJ7eANaEGv1B/,https://sudact.ru/regular/doc/uJ7eANaEGv1B,sudact.ru,data/ddu/raw_acts/act_uJ7eANaEGv1B.txt,bc0db73fbef2580cc84e184a036f4cc7c7de7d5d0c24e6b8dd16305fbe292cba,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
v8fYlftGBN6E,https://sudact.ru/regular/doc/v8fYlftGBN6E/,https://sudact.ru/regular/doc/v8fYlftGBN6E,sudact.ru,data/ddu/raw_acts/act_v8fYlftGBN6E.txt,0134a90c31f2fb9f149e89a8512f17c9211a856267eeacec1f337a47f6fc1508,true,true,complete,index,true,general_jurisdiction,district,Хабаровский край,Индустриальный районный суд г. Хабаровска,2-7041/2024,2024-12-25,ddu_escrow_dispute,penalty;moral_damage;consumer_fine;compel_transfer
vCIIP5SwATby,https://sudact.ru/regular/doc/vCIIP5SwATby/,https://sudact.ru/regular/doc/vCIIP5SwATby,sudact.ru,data/ddu/raw_acts/act_vCIIP5SwATby.txt,4a0e74e2282ae951b9dbc80cc7033ea6ba82be9b77773eca7b2436670e81240c,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
vQ7sBA90ldbr,https://sudact.ru/regular/doc/vQ7sBA90ldbr/,https://sudact.ru/regular/doc/vQ7sBA90ldbr,sudact.ru,data/ddu/raw_acts/act_vQ7sBA90ldbr.txt,9ee86c44df27a807462c1d59799ca36fe5cec7026026d623680efd9968e714d4,true,true,complete,hold,false,general_jurisdiction,,,,2-1090/2025,2025-12-29,ddu_manual_review_hold,hold
vcxfeE9NN11A,https://sudact.ru/regular/doc/vcxfeE9NN11A/,https://sudact.ru/regular/doc/vcxfeE9NN11A,sudact.ru,data/ddu/raw_acts/act_vcxfeE9NN11A.txt,f76a5ba6f2ce625dcd796b984027393fdff4948d15e8ac19bafff100fc47ff43,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
vx8xdmtSBDZT,https://sudact.ru/regular/doc/vx8xdmtSBDZT/,https://sudact.ru/regular/doc/vx8xdmtSBDZT,sudact.ru,data/ddu/raw_acts/act_vx8xdmtSBDZT.txt,832bdc3491be4bdc957c7b244bb1bd9ad666074f258a119ba61ea545b5a13dd8,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
xfBBJLmJ9NoV,https://sudact.ru/regular/doc/xfBBJLmJ9NoV/,https://sudact.ru/regular/doc/xfBBJLmJ9NoV,sudact.ru,data/ddu/raw_acts/act_xfBBJLmJ9NoV.txt,f6cb38154b6e35c01f4fb1bb1574ac486145cde3566ef102b685ab2586e85a94,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
yr7KTr1mSDmV,https://sudact.ru/regular/doc/yr7KTr1mSDmV/,https://sudact.ru/regular/doc/yr7KTr1mSDmV,sudact.ru,data/ddu/raw_acts/act_yr7KTr1mSDmV.txt,aefccc17e0b34d5df573391a24688a73dbe4eb5b6a34c3cd0ce2c96f25c340cf,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
zA2CdHcCVNVg,https://sudact.ru/regular/doc/zA2CdHcCVNVg/,https://sudact.ru/regular/doc/zA2CdHcCVNVg,sudact.ru,data/ddu/raw_acts/act_zA2CdHcCVNVg.txt,706553099098522bbae6281e98601c8462b5e94ff99cd4c29c52b8369ff3ca75,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
zoAf2okKzt18,https://sudact.ru/regular/doc/zoAf2okKzt18/,https://sudact.ru/regular/doc/zoAf2okKzt18,sudact.ru,data/ddu/raw_acts/act_zoAf2okKzt18.txt,0f8f9a1f8e6de3f1d0fa292e487b311e07553b865410ac5768c6112b50b330f0,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
