docid,current_dispute_type,suggested_dispute_type_code,suggested_dispute_type_label,current_claim_type,suggested_claim_type_codes,current_result_type,current_focus_party_result,suggested_result_type,current_platform,suggested_platform_norm,current_object_type,suggested_object_type_norm,current_index_policy,suggested_index_policy,current_main_site_fit,suggested_main_site_fit,reason,review_decision,review_comment
yQ8qgPoesvWJ,спор об ответственности владельца агрегатора перед потребителем,info_violation_art10_12,ответственность маркетплейса/агрегатора за товар продавца,"взыскание разницы в стоимости товара, убытков, неустойки, компенсации морального вреда",price_difference; damages; penalty; moral_damage; consumer_fine,отказ в удовлетворении иска,проигрыш,rejected,Ozon (ООО «Интернет Решения»),Ozon,видеокарта,видеокарта,index,index,True,True,"отказ к Ozon из-за статуса агрегатора, полезный отказной кейс",,
FuXzeJou9YYT,"односторонний отказ продавца от исполнения договора купли-продажи, нарушение срока передачи предварительно оплаченного товара",prepaid_goods_delay_art23_1,маркетплейс/продавец не передал оплаченный товар,"обязание передать товар, взыскание неустойки, компенсации морального вреда, штрафа, судебных расходов",compel_transfer; penalty; moral_damage; consumer_fine; expenses,иск удовлетворён частично,иск удовлетворён частично (к ИП ФИО2); в иске к ООО «Интернет Решения» отказано,mixed,Ozon (ООО «Интернет Решения»),Ozon,товар,товар маркетплейса,index,index,True,True,"иск удовлетворён к продавцу, но отказан к Ozon",,
Yse5NQ5b8YbO,"возврат денег за некачественный телевизор, приобретенный дистанционно",goods_defect_art18,возврат денег за некачественный телевизор с маркетплейса,"возврат цены товара с недостатками, неустойка, компенсация морального вреда, штраф, возмещение расходов",refund_price; penalty; moral_damage; consumer_fine; expenses,частичное удовлетворение иска,частично удовлетворены,partially_satisfied,ООО «Интернет Решения» (Ozon),Ozon,Телевизор,телевизор,index,index,True,True,"частичный успех, есть астрент/возврат товара",,
yz0M6YZip7Qn,возврат стоимости авиабилетов при вынужденном отказе от перевозки,service_refusal_art32,возврат авиабилетов и ответственность агента/перевозчика,"возврат стоимости билетов, компенсация морального вреда, штраф",refund_price; moral_damage; consumer_fine,частично удовлетворено,"частичное удовлетворение (против авиакомпании, отказ в иске к агенту, отказ во взыскании штрафа)",mixed,"Ozon Travel, Air Serbia",Ozon Travel / Air Serbia,авиабилеты,авиабилеты,index,index,True,True,"частично против перевозчика, отказ к агенту и в штрафе",,
LEkG8QMUg0gC,"возврат товара надлежащего качества, приобретенного дистанционным способом",distance_sale_return_art26_1,возврат товара надлежащего качества при дистанционной покупке,"возврат стоимости товара, неустойка, штраф, компенсация морального вреда, судебные расходы",refund_price; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,partially_satisfied,partially_satisfied,Ozon,Ozon,телевизор,телевизор,index,index,True,True,классический дистанционный отказ без недостатка,,
DvLR6OZqCqt,спор о раскрытии информации агрегатором,info_violation_art10_12,требование раскрыть информацию о продавцах на маркетплейсах,"обязание предоставить информацию, компенсация морального вреда, неустойка",information_disclosure; moral_damage; penalty,отказ в удовлетворении иска,проигрыш,rejected,"Lamoda.ru, Яндекс.Маркет, Ozon.ru, Wildberries.ru",несколько маркетплейсов,,информация о продавце,index,index,True,True,важный отказной кейс по информационным обязанностям агрегаторов,,
qVUccWRuFprb,отсутствие обязательной информации о товаре на сайте агрегатора,info_violation_art10_12,недостаточная информация о товаре на маркетплейсе,компенсация морального вреда,moral_damage,отказ в удовлетворении иска,проигрыш,rejected,Wildberries,Wildberries,зарядные устройства,зарядное устройство,index,index,True,True,"информационный спор, отказ из-за недоказанности нарушения",,
1w89Nc1UMNmm,возврат игровой приставки ненадлежащего качества,goods_defect_art18,возврат игровой приставки с недостатком,"расторжение договора купли-продажи, возврат уплаченной за товар суммы, компенсация морального вреда, штраф, неустойка",refund_price; penalty; moral_damage; consumer_fine,satisfied,satisfied_partially,partially_satisfied,Wildberries,Wildberries,игровая консоль,игровая приставка,index,index,True,True,"формально satisfied в JSON, но суммы/штраф обычно требуют частичной квалификации",,
LEM5MFXCKK6L,признание договора купли-продажи заключенным и понуждение к исполнению договора,contract_validity_non_zpp,понуждение маркетплейса к исполнению заказа,"признание договора заключенным, понуждение к исполнению договора",contract_recognition; compel_transfer,defeated,defeated,rejected,Wildberries,Wildberries,смартфон,смартфон,index,index,True,True,"иск проигран, полезно для сценария «заказ не считается заключённым»",,
fNiaUxW2zu1p,"возврат цены при отказе от товара, купленного дистанционно",distance_sale_return_art26_1,возврат товара при отказе от дистанционной покупки,"возврат цены, проценты, моральный вред, штраф",refund_price; moral_damage; consumer_fine,частичное удовлетворение,частичное удовлетворение иска,partially_satisfied,"ООО ""Вайлдберриз""",Wildberries,,товар дистанционной продажи,index,index,True,True,"дистанционный отказ, частичное удовлетворение",,
7hRq36xc81l6,возврат стоимости товара ненадлежащего качества,goods_defect_art18,возврат смартфона с заявленным недостатком,"возврат цены, неустойка, компенсация морального вреда, штраф",refund_price; penalty; moral_damage; consumer_fine,отказ в удовлетворении иска,проиграл,rejected,Яндекс.Маркет,Яндекс.Маркет,смартфон,смартфон,index,index,True,True,отказной кейс по доказательствам недостатка,,
v0m4w50eZy5n,"возврат стоимости некачественного товара, расторжение договора купли-продажи технически сложного товара из-за существенного недостатка",goods_defect_art18,возврат технически сложного товара с недостатком,"возврат цены, разница в цене, неустойка, моральный вред, судебные расходы",refund_price; price_difference; penalty; moral_damage; expenses,частичное удовлетворение,частичное удовлетворение,partially_satisfied,Яндекс.Маркет,Яндекс.Маркет,планшет,планшет,index,index,True,True,"технически сложный товар, частичный успех",,
yc651JdA4PJC,ненадлежащее качество технически сложного товара,goods_defect_art18,возврат ноутбука ненадлежащего качества,"возврат стоимости товара, неустойка, штраф, компенсация морального вреда, убытки, расходы на экспертизу",refund_price; penalty; moral_damage; consumer_fine; damages; expenses,частичное удовлетворение,частичное удовлетворение,partially_satisfied,Яндекс.Маркет,Яндекс.Маркет,ноутбук,ноутбук,index,index,True,True,частичное удовлетворение с низкой присуждённой суммой,,
3mMKR7CNUYQ8,возврат денег за онлайн-обучение,service_refusal_art32,возврат денег за онлайн-обучение,"возврат уплаченной по договору денежной суммы, штраф",refund_price; consumer_fine,satisfied,satisfied,satisfied,Skillbox,Skillbox,онлайн-курс,онлайн-курс,index,index,True,True,"услуги, не товар; полезно как расширение ЗоПП",,
flVxOoBiwCr8,Спор о заключенности договора оказания услуг связи и оплате фактически оказанных услуг,contract_validity_non_zpp,спор по договору услуг связи и начислениям,"Признание договора незаключенным, оспаривание задолженности, требование о признании прав потребителя",contract_recognition; debt_dispute,отказ в иске,В удовлетворении исковых требований отказано в полном объёме.,rejected,ПАО «Ростелеком»,Ростелеком,Услуги связи и оборудование,услуги связи,index,index,True,True,"полный отказ, полезно проверить нецелевые/слабые требования",,
Pde5A0X4dlZj,отказ в возврате страховой премии при досрочном отказе от страхования,service_refusal_art32,возврат страховой премии,"возврат уплаченной суммы, неустойка, компенсация морального вреда, штраф",insurance_premium_refund; penalty; moral_damage; consumer_fine,satisfaction_partially,частичное удовлетворение иска,partially_satisfied,ООО «СК «Ренессанс Жизнь»,Ренессанс Жизнь,страховая премия,страховая услуга,index,index,True,True,"пограничная, но потребительская услуга; оставить на проверку",,
qNPGP4ky266p,взыскание задолженности по договору поставки,non_consumer_hold,непотребительский спор по договору поставки,возврат суммы предварительной оплаты,hold,полное удовлетворение иска,положительный,hold,ООО «ОЗОН»,Ozon,товар,поставка товара,hold,hold,False,False,дело уже помечено как непотребительское; оставить контрольным исключением,,
qx9K417NRkWN,"возврат уплаченной суммы за автомобиль с существенными недостатками, взыскание убытков, неустойки, морального вреда",goods_defect_art18,возврат автомобиля с существенными недостатками,"возврат стоимости товара, убытки, неустойка, моральный вред, штраф",refund_price; damages; penalty; moral_damage; consumer_fine,частичное удовлетворение,иск удовлетворен частично,partially_satisfied,ООО «УАЗ»,УАЗ,автомобиль,автомобиль,index,index,True,True,"крупные суммы, классический авто-дефект",,
0qwM485PLa1s,возврат автомобиля ненадлежащего качества,goods_defect_art18,возврат автомобиля ненадлежащего качества,"возврат уплаченной за товар суммы, компенсация морального вреда, штраф",refund_price; moral_damage; consumer_fine,satisfied_after_filing,satisfied_partially,partially_satisfied,ООО «Автомир-Трейд»,Автомир-Трейд,автомобиль,автомобиль,index,index,True,True,"требования удовлетворены после подачи иска, лучше не считать полным выигрышем без проверки",,
82RMC7eXBpH4,"возврат стоимости некачественного технически сложного товара, взыскание неустойки, компенсации морального вреда и штрафа",goods_defect_art18,возврат технически сложного товара с недостатком,"возврат цены, неустойка, моральный вред, штраф",refund_price; penalty; moral_damage; consumer_fine,полное удовлетворение,полностью удовлетворены,satisfied,ООО «МВМ»,М.Видео,телевизор,телевизор,index,index,True,True,"сильный потребительский кейс, почти полное удовлетворение",,
BRRlQN72V9V6,"возврат стоимости технически сложного товара из-за производственного недостатка по истечении гарантийного срока, но в пределах двух лет",goods_defect_art18,"возврат технически сложного товара после гарантии, но в пределах двух лет","возврат цены, неустойка, компенсация морального вреда, возмещение расходов, штраф",refund_price; penalty; moral_damage; consumer_fine; expenses,смешанный,частичное удовлетворение,mixed,ООО «ДНС Ритейл»,ДНС,смартфон,смартфон,index,index,True,True,смешанный/частичный исход; проверить бремя доказывания,,
PulUoivdYENP,Непоставка предварительно оплаченного товара,prepaid_goods_delay_art23_1,непоставка предварительно оплаченного товара,"возврат предоплаты, неустойка, компенсация морального вреда, штраф",refund_price; penalty; moral_damage; consumer_fine,Удовлетворено,Иск удовлетворен полностью,satisfied,,не указан,Кухонный гарнитур,кухонный гарнитур,index,index,True,True,"полное удовлетворение, хороший positive-case",,
MmtWiS16N45R,нарушение срока передачи предварительно оплаченного товара,prepaid_goods_delay_art23_1,нарушение срока передачи предварительно оплаченного товара,"возврат аванса, неустойка, компенсация морального вреда, штраф, судебные расходы",refund_price; penalty; moral_damage; consumer_fine; expenses,partially_granted,частично удовлетворено,partially_satisfied,,не указан,бревенчатый сруб дома,бревенчатый сруб дома,index,index,True,True,частичное удовлетворение по предоплате/срокам,,
YFjMxNYLsLlX,product_defect_and_refund,goods_defect_art18,комплектность мебели и возврат расходов,refund_and_penalties,refund_price; penalty; moral_damage; consumer_fine; damages; expenses,judgment_for_plaintiff,partially_satisfied,partially_satisfied,ООО «Торговый Дом «Лазурит»,Лазурит,furniture,мебель,index,index,True,True,текущее JSON содержит англоязычные enum; требуется нормализация,,
OzQpzlDiDWZ,"refusal to accept return of quality goods bought online, misleading about store location, wrongful deadline calculation",distance_sale_return_art26_1,отказ принять возврат товара надлежащего качества онлайн,"refund of purchase price, moral damages, statutory fine",refund_price; moral_damage; consumer_fine,"иск удовлетворен в части: обязан принять товар, взысканы стоимость, моральный вред и штраф; в требовании о неустойке отказано",частично удовлетворены,partially_satisfied,ООО «Ашан»,Ашан,швабра,швабра,index,index,True,True,текущее JSON содержит англоязычные enum; полезен для дистанционного возврата,,
